sample,lbl
HG00379,1
HG00380,0
HG00381,0
HG00382,1
HG00383,1
HG00384,0
HG00403,1
HG00404,0
HG00406,1
HG00407,1
HG00409,1
HG00410,0
HG00419,0
HG00421,1
HG00422,0
HG00428,1
HG00436,1
HG00437,1
HG00442,1
HG00443,0
HG00445,1
HG00446,1
HG00448,0
HG00449,0
HG00451,1
HG00452,1
HG00457,1
HG00458,1
HG00463,0
HG00464,1
HG00472,0
HG00473,1
HG00475,0
HG00476,1
HG00478,0
HG00479,0
HG00500,1
HG00513,1
HG00524,0
HG00525,0
HG00530,1
HG00531,1
HG00533,1
HG00534,0
HG00536,0
HG00537,0
HG00542,0
HG00543,1
HG00551,0
HG00553,0
HG00554,1
HG00556,1
HG00557,1
HG00559,1
HG00560,0
HG00565,0
HG00566,0
HG00580,0
HG00581,0
HG00583,1
HG00584,1
HG00589,0
HG00590,1
HG00592,0
HG00593,0
HG00595,1
HG00596,0
HG00598,1
HG00599,0
HG00607,1
HG00608,1
HG00610,0
HG00611,1
HG00613,1
HG00614,0
HG00619,0
HG00620,0
HG00622,1
HG00623,0
HG00625,0
HG00626,1
HG00628,0
HG00629,0
HG00631,0
HG00632,0
HG00634,1
HG00637,1
HG00638,0
HG00640,1
HG00641,0
HG00650,0
HG00651,1
HG00653,1
HG00654,0
HG00656,0
HG00657,0
HG00662,1
HG00663,0
HG00671,1
HG00672,0
HG00674,1
HG00675,1
HG00683,1
HG00684,1
HG00689,1
HG00690,0
HG00692,0
HG00693,1
HG00698,0
HG00699,0
HG00701,1
HG00704,0
HG00705,0
HG00707,1
HG00708,0
HG00717,1
HG00728,1
HG00729,0
HG00731,1
HG00732,0
HG00734,0
HG00736,0
HG00737,0
HG00739,1
HG00740,0
HG00742,0
HG00743,1
HG00759,1
HG00766,1
HG00844,0
HG00851,1
HG00864,1
HG00867,1
HG00879,1
HG00881,1
HG00956,0
HG00978,1
HG00982,0
HG01028,0
HG01029,1
HG01031,1
HG01046,1
HG01047,1
HG01048,0
HG01049,1
HG01051,1
HG01052,0
HG01054,1
HG01055,0
HG01058,0
HG01060,1
HG01061,0
HG01063,1
HG01064,1
HG01066,0
HG01067,1
HG01069,1
HG01070,1
HG01072,1
HG01073,1
HG01075,0
HG01077,0
HG01079,1
HG01080,1
HG01082,1
HG01083,1
HG01085,0
HG01086,1
HG01088,1
HG01089,0
HG01092,1
HG01094,1
HG01095,0
HG01097,0
HG01098,0
HG01101,0
HG01102,0
HG01104,0
HG01105,0
HG01107,1
HG01108,1
HG01110,1
HG01111,0
HG01112,1
HG01113,1
HG01119,0
HG01121,0
HG01122,1
HG01124,0
HG01125,0
HG01130,1
HG01131,1
HG01133,0
HG01134,0
HG01136,1
HG01137,0
HG01139,0
HG01140,1
HG01142,0
HG01148,0
HG01149,0
HG01161,0
HG01162,0
HG01164,0
HG01167,0
HG01168,1
HG01170,0
HG01171,0
HG01173,0
HG01174,0
HG01176,0
HG01177,0
HG01182,0
HG01183,0
HG01187,1
HG01188,0
HG01190,1
HG01191,1
HG01197,0
HG01198,0
HG01200,1
HG01204,1
HG01205,0
HG01241,0
HG01242,1
HG01247,1
HG01248,1
HG01250,1
HG01251,0
HG01253,0
HG01254,1
HG01256,0
HG01257,0
HG01259,1
HG01260,1
HG01269,1
HG01271,1
HG01272,1
HG01275,1
HG01277,0
HG01280,1
HG01281,0
HG01284,0
HG01286,1
HG01302,0
HG01303,1
HG01305,0
HG01308,1
HG01311,0
HG01312,0
HG01323,0
HG01325,0
HG01326,1
HG01334,1
HG01341,0
HG01342,1
HG01344,0
HG01345,0
HG01348,0
HG01350,0
HG01351,0
HG01353,0
HG01354,0
HG01356,1
HG01357,0
HG01359,0
HG01360,1
HG01362,0
HG01363,1
HG01365,1
HG01366,1
HG01369,0
HG01372,0
HG01374,1
HG01375,1
HG01377,0
HG01378,0
HG01383,1
HG01384,1
HG01389,1
HG01390,0
HG01392,0
HG01393,0
HG01395,0
HG01396,0
HG01398,0
HG01402,1
HG01403,0
HG01405,1
HG01412,1
HG01413,0
HG01414,1
HG01431,0
HG01432,1
HG01435,1
HG01437,1
HG01438,1
HG01440,1
HG01441,1
HG01443,1
HG01444,0
HG01447,0
HG01455,0
HG01456,0
HG01459,1
HG01461,1
HG01462,0
HG01464,1
HG01465,1
HG01468,1
HG01474,1
HG01479,1
HG01485,0
HG01486,0
HG01488,0
HG01489,1
HG01491,1
HG01492,1
HG01494,1
HG01495,1
HG01497,1
HG01498,0
HG01500,1
HG01501,0
HG01503,0
HG01504,1
HG01506,1
HG01507,1
HG01509,1
HG01510,0
HG01512,1
HG01513,1
HG01515,0
HG01516,0
HG01518,0
HG01519,0
HG01521,0
HG01522,1
HG01524,1
HG01525,0
HG01527,1
HG01528,0
HG01530,0
HG01531,1
HG01536,1
HG01537,1
HG01550,0
HG01551,0
HG01556,0
HG01565,0
HG01566,0
HG01571,1
HG01572,1
HG01577,1
HG01578,0
HG01583,1
HG01586,1
HG01589,1
HG01593,1
HG01595,0
HG01596,1
HG01597,0
HG01598,1
HG01599,0
HG01600,0
HG01602,1
HG01603,1
HG01605,1
HG01606,1
HG01607,1
HG01608,1
HG01610,0
HG01612,1
HG01613,0
HG01615,1
HG01617,1
HG01618,1
HG01619,0
HG01620,1
HG01623,0
HG01624,1
HG01625,1
HG01626,1
HG01628,0
HG01630,1
HG01631,0
HG01632,1
HG01668,0
HG01669,1
HG01670,0
HG01672,1
HG01673,0
HG01675,0
HG01676,1
HG01678,1
HG01679,1
HG01680,1
HG01682,1
HG01684,0
HG01685,1
HG01686,1
HG01694,0
HG01695,1
HG01697,0
HG01699,1
HG01700,1
HG01702,1
HG01704,1
HG01705,1
HG01707,0
HG01708,1
HG01709,0
HG01710,0
HG01746,1
HG01747,1
HG01756,0
HG01757,0
HG01761,1
HG01762,1
HG01765,1
HG01766,1
HG01767,0
HG01768,0
HG01770,1
HG01771,0
HG01773,1
HG01775,1
HG01776,1
HG01777,1
HG01779,1
HG01781,1
HG01783,0
HG01784,1
HG01785,1
HG01786,0
HG01789,1
HG01790,0
HG01791,1
HG01794,0
HG01795,0
HG01796,0
HG01797,1
HG01798,0
HG01799,1
HG01800,0
HG01801,1
HG01802,1
HG01804,0
HG01805,0
HG01806,0
HG01807,1
HG01808,0
HG01809,0
HG01810,1
HG01811,1
HG01812,1
HG01813,1
HG01815,0
HG01816,1
HG01817,0
HG01840,0
HG01841,0
HG01842,0
HG01843,1
HG01844,1
HG01845,1
HG01846,1
HG01847,1
HG01848,1
HG01849,0
HG01850,1
HG01851,1
HG01852,1
HG01853,0
HG01855,0
HG01857,1
HG01858,1
HG01859,1
HG01860,1
HG01861,0
HG01862,0
HG01863,1
HG01864,1
HG01865,0
HG01866,1
HG01867,1
HG01868,1
HG01869,0
HG01870,1
HG01871,1
HG01872,0
HG01873,1
HG01874,1
HG01878,0
HG01879,0
HG01880,1
HG01882,1
HG01883,1
HG01885,1
HG01886,1
HG01889,0
HG01890,1
HG01892,0
HG01893,1
HG01894,1
HG01896,1
HG01912,0
HG01914,1
HG01915,1
HG01917,0
HG01918,0
HG01920,1
HG01921,1
HG01923,0
HG01924,0
HG01926,1
HG01927,0
HG01932,0
HG01933,1
HG01935,0
HG01936,0
HG01938,0
HG01939,0
HG01941,0
HG01942,1
HG01944,0
HG01945,1
HG01947,1
HG01948,1
HG01950,0
HG01951,0
HG01953,1
HG01954,0
HG01956,1
HG01958,0
HG01961,1
HG01965,0
HG01967,0
HG01968,1
HG01970,0
HG01971,0
HG01973,0
HG01974,0
HG01976,0
HG01977,0
HG01979,0
HG01980,1
HG01982,0
HG01985,1
HG01986,0
HG01988,0
HG01989,0
HG01990,1
HG01991,0
HG01992,0
HG01997,1
HG02002,1
HG02003,1
HG02006,0
HG02008,0
HG02009,0
HG02010,0
HG02012,1
HG02013,1
HG02014,0
HG02016,0
HG02017,0
HG02019,0
HG02020,0
HG02023,1
HG02025,0
HG02026,0
HG02028,0
HG02029,0
HG02031,1
HG02032,0
HG02035,0
HG02040,1
HG02047,0
HG02048,1
HG02049,0
HG02050,1
HG02051,0
HG02052,1
HG02053,0
HG02054,1
HG02057,0
HG02058,1
HG02060,0
HG02061,1
HG02064,1
HG02067,0
HG02069,0
HG02070,1
HG02072,0
HG02073,1
HG02075,1
HG02076,0
HG02078,1
HG02079,1
HG02081,1
HG02082,1
HG02084,0
HG02085,0
HG02086,1
HG02087,0
HG02088,0
HG02089,0
HG02090,0
HG02095,0
HG02102,0
HG02104,0
HG02105,1
HG02107,0
HG02108,1
HG02111,0
HG02113,0
HG02116,0
HG02121,1
HG02122,0
HG02127,1
HG02128,1
HG02130,0
HG02131,0
HG02133,0
HG02134,1
HG02136,0
HG02137,0
HG02138,1
HG02139,0
HG02140,1
HG02141,0
HG02142,0
HG02143,0
HG02144,0
HG02146,1
HG02147,0
HG02150,0
HG02151,1
HG02152,0
HG02153,1
HG02154,0
HG02155,0
HG02156,1
HG02164,0
HG02165,1
HG02166,1
HG02178,0
HG02179,0
HG02180,1
HG02181,1
HG02182,1
HG02184,0
HG02185,1
HG02186,1
HG02187,1
HG02188,1
HG02190,1
HG02215,1
HG02219,0
HG02220,1
HG02221,0
HG02223,0
HG02224,1
HG02230,1
HG02231,0
HG02232,0
HG02233,1
HG02235,0
HG02236,0
HG02238,0
HG02239,1
HG02250,0
HG02252,0
HG02253,1
HG02255,0
HG02256,1
HG02259,1
HG02260,0
HG02262,1
HG02265,1
HG02266,0
HG02271,0
HG02272,1
HG02274,1
HG02275,0
HG02277,0
HG02278,0
HG02281,1
HG02282,1
HG02283,1
HG02284,1
HG02285,0
HG02286,0
HG02291,1
HG02292,1
HG02298,1
HG02299,1
HG02301,0
HG02304,0
HG02307,0
HG02308,1
HG02309,0
HG02312,1
HG02314,0
HG02315,1
HG02317,0
HG02318,1
HG02322,1
HG02323,0
HG02325,1
HG02330,1
HG02332,0
HG02334,0
HG02337,1
HG02339,0
HG02343,1
HG02345,0
HG02348,0
HG02351,1
HG02353,1
HG02355,0
HG02356,0
HG02360,0
HG02364,1
HG02367,1
HG02371,0
HG02373,0
HG02374,1
HG02375,1
HG02379,0
HG02380,1
HG02382,0
HG02383,1
HG02384,0
HG02385,1
HG02386,0
HG02389,1
HG02390,0
HG02391,1
HG02392,0
HG02394,0
HG02395,1
HG02396,0
HG02397,1
HG02398,0
HG02399,1
HG02401,0
HG02402,1
HG02406,1
HG02407,1
HG02408,0
HG02409,0
HG02410,1
HG02419,1
HG02420,0
HG02425,0
HG02427,1
HG02429,0
HG02433,0
HG02439,1
HG02442,0
HG02445,1
HG02449,1
HG02450,1
HG02455,0
HG02461,1
HG02462,1
HG02464,0
HG02465,0
HG02470,1
HG02471,0
HG02476,1
HG02477,1
HG02479,0
HG02481,1
HG02484,1
HG02485,1
HG02489,0
HG02490,0
HG02491,0
HG02493,0
HG02494,0
HG02496,0
HG02497,0
HG02501,0
HG02502,0
HG02505,1
HG02508,0
HG02511,1
HG02512,1
HG02513,1
HG02521,0
HG02522,1
HG02536,0
HG02537,0
HG02541,0
HG02545,1
HG02546,1
HG02549,0
HG02554,1
HG02555,1
HG02557,0
HG02558,0
HG02561,1
HG02562,0
HG02568,0
HG02570,1
HG02571,0
HG02573,1
HG02574,0
HG02577,1
HG02580,0
HG02582,0
HG02583,0
HG02585,0
HG02586,1
HG02588,1
HG02589,0
HG02594,0
HG02595,1
HG02597,0
HG02600,0
HG02601,1
HG02603,0
HG02604,1
HG02610,0
HG02611,1
HG02613,0
HG02614,1
HG02620,0
HG02621,1
HG02623,1
HG02624,0
HG02628,0
HG02629,1
HG02634,1
HG02635,1
HG02642,1
HG02643,1
HG02645,0
HG02646,1
HG02648,0
HG02649,1
HG02651,1
HG02652,1
HG02654,1
HG02655,1
HG02657,1
HG02658,1
HG02660,1
HG02661,1
HG02666,1
HG02667,1
HG02675,1
HG02676,1
HG02678,1
HG02679,0
HG02681,1
HG02682,0
HG02684,1
HG02685,1
HG02687,1
HG02688,0
HG02690,0
HG02691,1
HG02694,1
HG02696,0
HG02697,1
HG02699,1
HG02700,1
HG02702,0
HG02703,0
HG02715,0
HG02716,0
HG02721,0
HG02722,1
HG02724,1
HG02725,0
HG02727,1
HG02728,0
HG02731,1
HG02733,0
HG02734,1
HG02736,0
HG02737,1
HG02756,0
HG02757,1
HG02759,0
HG02760,1
HG02763,1
HG02768,0
HG02769,0
HG02771,1
HG02772,0
HG02774,1
HG02775,0
HG02778,0
HG02780,1
HG02783,1
HG02784,1
HG02786,1
HG02787,1
HG02789,1
HG02790,1
HG02792,1
HG02793,1
HG02798,1
HG02799,1
HG02804,1
HG02805,0
HG02807,1
HG02808,0
HG02810,0
HG02811,1
HG02813,1
HG02814,0
HG02816,1
HG02817,1
HG02819,1
HG02820,1
HG02836,1
HG02837,0
HG02839,0
HG02840,0
HG02851,0
HG02852,0
HG02854,0
HG02855,0
HG02860,1
HG02861,1
HG02870,0
HG02878,1
HG02879,0
HG02881,0
HG02882,1
HG02884,1
HG02885,1
HG02887,1
HG02888,1
HG02890,0
HG02891,1
HG02895,0
HG02896,0
HG02922,0
HG02923,1
HG02938,0
HG02941,1
HG02943,1
HG02944,0
HG02946,0
HG02947,1
HG02952,0
HG02953,1
HG02968,1
HG02970,0
HG02971,0
HG02973,0
HG02974,0
HG02976,1
HG02977,0
HG02979,1
HG02981,0
HG02982,0
HG02983,1
HG03006,0
HG03007,1
HG03009,1
HG03012,1
HG03015,0
HG03016,1
HG03018,1
HG03019,0
HG03021,1
HG03022,0
HG03024,1
HG03025,1
HG03027,1
HG03028,1
HG03039,1
HG03040,0
HG03045,1
HG03046,0
HG03048,0
HG03049,0
HG03052,0
HG03054,1
HG03055,0
HG03057,1
HG03058,1
HG03060,0
HG03061,0
HG03063,0
HG03064,1
HG03066,0
HG03069,0
HG03072,1
HG03073,0
HG03074,0
HG03077,0
HG03078,1
HG03079,1
HG03081,0
HG03082,1
HG03084,1
HG03085,1
HG03086,0
HG03088,1
HG03091,1
HG03095,0
HG03096,0
HG03097,0
HG03099,1
HG03100,1
HG03103,0
HG03105,1
HG03108,0
HG03109,1
HG03111,1
HG03112,0
HG03114,1
HG03115,0
HG03117,0
HG03118,0
HG03120,0
HG03121,0
HG03123,0
HG03124,1
HG03126,0
HG03127,0
HG03129,1
HG03130,0
HG03132,1
HG03133,0
HG03135,1
HG03136,1
HG03139,1
HG03157,0
HG03159,0
HG03160,1
HG03162,0
HG03163,1
HG03166,0
HG03168,0
HG03169,0
HG03172,1
HG03175,0
HG03189,0
HG03190,0
HG03193,1
HG03195,1
HG03196,0
HG03198,0
HG03199,0
HG03202,0
HG03209,1
HG03212,0
HG03224,1
HG03225,0
HG03228,0
HG03229,0
HG03234,1
HG03235,1
HG03237,1
HG03238,0
HG03240,0
HG03241,0
HG03246,0
HG03247,0
HG03258,0
HG03259,1
HG03265,0
HG03267,0
HG03268,1
HG03270,1
HG03271,0
HG03279,1
HG03280,1
HG03291,0
HG03294,0
HG03295,0
HG03297,0
HG03298,0
HG03300,0
HG03301,0
HG03303,1
HG03304,1
HG03311,1
HG03313,1
HG03342,1
HG03343,0
HG03351,1
HG03352,1
HG03354,1
HG03363,0
HG03366,0
HG03367,0
HG03369,0
HG03370,0
HG03372,1
HG03376,0
HG03378,1
HG03380,1
HG03382,0
HG03385,0
HG03388,0
HG03391,1
HG03394,0
HG03397,0
HG03401,0
HG03410,1
HG03419,0
HG03428,1
HG03432,1
HG03433,1
HG03436,1
HG03437,1
HG03439,0
HG03442,0
HG03445,0
HG03446,0
HG03449,0
HG03451,0
HG03452,1
HG03455,0
HG03457,0
HG03458,0
HG03460,0
HG03461,1
HG03464,1
HG03469,0
HG03470,1
HG03472,1
HG03473,1
HG03476,1
HG03478,0
HG03479,0
HG03484,1
HG03485,0
HG03488,0
HG03490,0
HG03491,1
HG03499,0
HG03511,0
HG03514,1
HG03515,1
HG03517,0
HG03518,0
HG03520,0
HG03521,0
HG03538,0
HG03539,1
HG03547,0
HG03548,1
HG03556,1
HG03557,1
HG03558,0
HG03559,0
HG03563,1
HG03565,1
HG03567,1
HG03571,1
HG03572,1
HG03575,0
HG03577,0
HG03578,1
HG03583,1
HG03585,0
HG03589,1
HG03593,0
HG03594,1
HG03595,1
HG03598,1
HG03600,1
HG03603,1
HG03604,0
HG03607,1
HG03611,0
HG03615,1
HG03616,0
HG03619,1
HG03624,0
HG03625,0
HG03629,1
HG03631,1
HG03634,0
HG03636,0
HG03640,0
HG03642,0
HG03643,1
HG03644,0
HG03645,1
HG03646,1
HG03649,0
HG03652,1
HG03653,1
HG03660,0
HG03663,0
HG03667,1
HG03668,0
HG03672,0
HG03673,0
HG03679,1
HG03680,0
HG03681,0
HG03684,1
HG03685,1
HG03686,1
HG03687,0
HG03689,1
HG03690,1
HG03691,0
HG03692,1
HG03693,0
HG03694,0
HG03695,0
HG03696,1
HG03697,0
HG03698,0
HG03702,0
HG03703,1
HG03705,0
HG03706,0
HG03708,0
HG03709,1
HG03711,1
HG03713,0
HG03714,1
HG03716,1
HG03717,0
HG03718,0
HG03720,1
HG03722,0
HG03727,0
HG03729,1
HG03730,0
HG03731,1
HG03733,0
HG03736,1
HG03738,0
HG03740,1
HG03741,1
HG03742,1
HG03743,0
HG03744,0
HG03745,0
HG03746,1
HG03750,0
HG03752,1
HG03753,0
HG03754,0
HG03755,0
HG03756,1
HG03757,0
HG03760,0
HG03762,0
HG03765,1
HG03767,0
HG03770,1
HG03771,0
HG03772,0
HG03773,0
HG03774,1
HG03775,1
HG03777,1
HG03778,0
HG03779,0
HG03780,0
HG03781,0
HG03782,1
HG03784,0
HG03785,0
HG03786,0
HG03787,0
HG03788,0
HG03789,1
HG03790,1
HG03792,0
HG03793,1
HG03796,1
HG03800,1
HG03802,1
HG03803,1
HG03805,1
HG03808,1
HG03809,1
HG03812,0
HG03814,1
HG03815,0
HG03817,0
HG03821,0
HG03823,0
HG03824,0
HG03826,1
HG03829,1
HG03830,0
HG03832,1
HG03833,0
HG03836,0
HG03837,1
HG03838,0
HG03844,1
HG03846,0
HG03848,1
HG03849,1
HG03850,0
HG03851,0
HG03854,0
HG03856,0
HG03857,0
HG03858,1
HG03861,1
HG03862,1
HG03863,1
HG03864,1
HG03866,1
HG03867,0
HG03868,0
HG03869,0
HG03870,0
HG03871,0
HG03872,1
HG03873,1
HG03874,0
HG03875,0
HG03882,0
HG03884,1
HG03885,1
HG03886,1
HG03887,0
HG03888,0
HG03890,0
HG03894,0
HG03895,0
HG03896,0
HG03897,0
HG03898,1
HG03899,0
HG03900,0
HG03902,0
HG03905,1
HG03907,1
HG03908,0
HG03910,1
HG03911,1
HG03913,1
HG03914,0
HG03916,1
HG03917,1
HG03919,0
HG03920,1
HG03922,1
HG03925,0
HG03926,0
HG03928,0
HG03931,0
HG03934,1
HG03937,0
HG03940,0
HG03941,1
HG03943,1
HG03944,1
HG03945,0
HG03947,0
HG03949,1
HG03950,0
HG03951,1
HG03953,1
HG03955,0
HG03960,1
HG03963,1
HG03965,0
HG03967,1
HG03968,1
HG03969,0
HG03971,0
HG03973,1
HG03974,1
HG03976,1
HG03977,0
HG03978,0
HG03985,1
HG03986,0
HG03989,1
HG03990,1
HG03991,1
HG03995,1
HG03998,0
HG03999,1
HG04001,1
HG04002,1
HG04003,0
HG04006,0
HG04014,1
HG04015,1
HG04017,0
HG04018,0
HG04019,0
HG04020,0
HG04022,0
HG04023,1
HG04025,0
HG04026,0
HG04029,0
HG04033,1
HG04035,1
HG04038,1
HG04039,1
HG04042,1
HG04047,1
HG04054,1
HG04056,1
HG04059,0
HG04060,0
HG04061,1
HG04062,1
HG04063,0
HG04070,1
HG04075,0
HG04076,1
HG04080,0
HG04090,0
HG04093,1
HG04094,1
HG04096,0
HG04098,1
HG04099,0
HG04100,0
HG04106,0
HG04107,0
HG04118,1
HG04131,1
HG04134,0
HG04140,0
HG04141,0
HG04144,0
HG04146,0
HG04152,0
HG04153,0
HG04155,1
HG04156,0
HG04158,1
HG04159,0
HG04161,1
HG04162,1
HG04164,0
HG04171,1
HG04173,0
HG04176,1
HG04177,0
HG04180,1
HG04182,1
HG04183,0
HG04185,0
HG04186,0
HG04188,0
HG04189,0
HG04194,1
HG04195,1
HG04198,0
HG04200,1
HG04202,0
HG04206,1
HG04209,0
HG04210,1
HG04211,1
HG04212,1
HG04214,0
HG04216,1
HG04219,0
HG04222,1
HG04225,0
HG04227,1
HG04229,0
HG04235,1
HG04238,1
HG04239,1
NA06984,1
NA06985,0
NA06986,1
NA06989,0
NA06994,0
NA07000,1
NA07037,0
NA07048,1
NA07051,0
NA07056,1
NA07347,0
NA07357,1
NA10847,0
NA10851,0
NA11829,0
NA11830,1
NA11831,1
NA11832,1
NA11840,0
NA11843,1
NA11881,1
NA11892,1
NA11893,1
NA11894,0
NA11918,0
NA11919,0
NA11920,0
NA11930,1
NA11931,1
NA11932,1
NA11933,0
NA11992,1
NA11994,0
NA11995,0
NA12003,1
NA12004,1
NA12005,0
NA12006,0
NA12043,0
NA12044,0
NA12045,1
NA12046,1
NA12058,0
NA12144,1
NA12154,0
NA12155,1
NA12156,1
NA12234,1
NA12249,1
NA12272,0
NA12273,1
NA12275,1
NA12282,0
NA12283,1
NA12286,0
NA12287,1
NA12340,0
NA12341,1
NA12342,1
NA12347,0
NA12348,1
NA12383,1
NA12399,1
NA12400,0
NA12413,1
NA12414,1
NA12489,1
NA12546,0
NA12716,0
NA12717,0
NA12718,1
NA12748,0
NA12749,1
NA12750,1
NA12751,0
NA12760,0
NA12761,1
NA12762,0
NA12763,1
NA12775,1
NA12776,1
NA12777,0
NA12778,0
NA12812,0
NA12813,1
NA12814,0
NA12815,0
NA12827,0
NA12828,0
NA12829,1
NA12830,0
NA12842,1
NA12843,1
NA12872,0
NA12873,0
NA12874,1
NA12878,1
NA12889,0
NA12890,1
NA18486,1
NA18488,0
NA18489,0
NA18498,1
NA18499,0
NA18501,0
NA18502,0
NA18504,0
NA18505,1
NA18507,0
NA18508,0
NA18510,0
NA18511,1
NA18516,1
NA18517,1
NA18519,0
NA18520,0
NA18522,0
NA18523,0
NA18525,1
NA18526,0
NA18528,0
NA18530,0
NA18531,0
NA18532,0
NA18533,1
NA18534,1
NA18535,0
NA18536,0
NA18537,1
NA18538,0
NA18539,1
NA18541,1
NA18542,0
NA18543,1
NA18544,0
NA18545,0
NA18546,0
NA18547,0
NA18548,0
NA18549,1
NA18550,1
NA18552,0
NA18553,1
NA18555,0
NA18557,0
NA18558,0
NA18559,1
NA18560,1
NA18561,0
NA18562,0
NA18563,0
NA18564,0
NA18565,1
NA18566,0
NA18567,1
NA18570,0
NA18571,0
NA18572,1
NA18573,1
NA18574,0
NA18577,1
NA18579,0
NA18582,1
NA18591,1
NA18592,0
NA18593,1
NA18595,1
NA18596,1
NA18597,1
NA18599,0
NA18602,0
NA18603,0
NA18605,1
NA18606,1
NA18608,0
NA18609,0
NA18610,1
NA18611,1
NA18612,0
NA18613,0
NA18614,0
NA18615,0
NA18616,1
NA18617,1
NA18618,0
NA18619,1
NA18620,1
NA18621,0
NA18622,0
NA18623,1
NA18624,0
NA18625,0
NA18626,1
NA18627,1
NA18628,1
NA18629,0
NA18630,0
NA18631,0
NA18632,1
NA18633,0
NA18634,1
NA18635,1
NA18636,1
NA18637,1
NA18638,0
NA18639,0
NA18640,1
NA18641,1
NA18642,1
NA18643,1
NA18644,0
NA18645,0
NA18646,1
NA18647,0
NA18648,0
NA18740,1
NA18745,1
NA18747,1
NA18748,0
NA18749,1
NA18757,1
NA18853,0
NA18856,0
NA18858,0
NA18861,0
NA18864,1
NA18865,1
NA18867,1
NA18868,0
NA18870,0
NA18871,0
NA18873,1
NA18874,0
NA18876,0
NA18877,1
NA18878,1
NA18879,1
NA18881,1
NA18907,0
NA18908,0
NA18909,1
NA18910,0
NA18912,0
NA18915,1
NA18916,1
NA18917,0
NA18923,1
NA18924,0
NA18933,0
NA18934,1
NA18939,1
NA18940,0
NA18941,0
NA18942,0
NA18943,1
NA18944,1
NA18945,1
NA18946,1
NA18947,0
NA18948,1
NA18949,1
NA18950,0
NA18951,1
NA18952,0
NA18953,0
NA18954,1
NA18956,0
NA18957,1
NA18959,0
NA18960,0
NA18961,1
NA18962,1
NA18963,0
NA18964,0
NA18965,0
NA18966,0
NA18967,1
NA18968,1
NA18969,1
NA18970,0
NA18971,1
NA18972,0
NA18973,1
NA18974,1
NA18975,0
NA18976,0
NA18977,1
NA18978,0
NA18979,0
NA18980,1
NA18981,1
NA18982,1
NA18983,1
NA18984,1
NA18985,0
NA18986,0
NA18987,1
NA18988,1
NA18989,1
NA18990,1
NA18991,0
NA18992,1
NA18993,0
NA18994,1
NA18995,0
NA18997,0
NA18998,1
NA18999,1
NA19000,0
NA19001,0
NA19002,0
NA19003,1
NA19004,0
NA19005,1
NA19006,1
NA19007,1
NA19009,1
NA19010,0
NA19011,0
NA19012,1
NA19017,0
NA19019,0
NA19020,0
NA19023,1
NA19024,0
NA19025,0
NA19026,1
NA19027,1
NA19028,0
NA19030,0
NA19031,1
NA19035,1
NA19036,1
NA19037,0
NA19038,0
NA19041,1
NA19042,1
NA19043,0
NA19054,0
NA19055,0
NA19056,1
NA19057,0
